County,State,Population
Clay,South Dakota,13935
Codington,South Dakota,27853
Corson,South Dakota,4215
Custer,South Dakota,8468
Davison,South Dakota,19823
Day,South Dakota,5596
Deuel,South Dakota,4320
Dewey,South Dakota,5586
Douglas,South Dakota,3023
Edmunds,South Dakota,4041
Fall River,South Dakota,6839
Faulk,South Dakota,2386
Grant,South Dakota,7281
Gregory,South Dakota,4242
Haakon,South Dakota,1894
Hamlin,South Dakota,5961
Hand,South Dakota,3391
Hanson,South Dakota,3405
Harding,South Dakota,1262
Hughes,South Dakota,17508
Hutchinson,South Dakota,7145
Hyde,South Dakota,1391
Jackson,South Dakota,3216
Jerauld,South Dakota,2066
Jones,South Dakota,1001
Kingsbury,South Dakota,5065
Lake,South Dakota,12055
Lawrence,South Dakota,24910
Lincoln,South Dakota,61128
Lyman,South Dakota,3892
McCook,South Dakota,5654
McPherson,South Dakota,2457
Marshall,South Dakota,4763
Meade,South Dakota,27202
Mellette,South Dakota,2081
Miner,South Dakota,2333
Minnehaha,South Dakota,193134
Moody,South Dakota,6404
Oglala Lakota,South Dakota,14118
Pennington,South Dakota,113775
Perkins,South Dakota,3037
Potter,South Dakota,2394
Roberts,South Dakota,10251
Sanborn,South Dakota,2324
Spink,South Dakota,6610
Stanley,South Dakota,2981
Sully,South Dakota,1437
Todd,South Dakota,9982
Tripp,South Dakota,5498
Turner,South Dakota,8361
Union,South Dakota,14829
Walworth,South Dakota,5524
Yankton,South Dakota,22696
Ziebach,South Dakota,2834
Anderson,Tennessee,76978
Bedford,Tennessee,49713
Benton,Tennessee,16290
Bledsoe,Tennessee,12841
Blount,Tennessee,133088
Bradley,Tennessee,108110
Campbell,Tennessee,39842
Cannon,Tennessee,13775
Carroll,Tennessee,28513
Carter,Tennessee,56391
Cheatham,Tennessee,40667
Chester,Tennessee,17321
Claiborne,Tennessee,31560
Clay,Tennessee,7774
Cocke,Tennessee,35479
Coffee,Tennessee,56520
Crockett,Tennessee,14591
Cumberland,Tennessee,60520
Davidson,Tennessee,694144
Decatur,Tennessee,11661
DeKalb,Tennessee,19164
Dickson,Tennessee,53948
Dyer,Tennessee,37159
Fayette,Tennessee,41133
Fentress,Tennessee,17909
Franklin,Tennessee,42208
Gibson,Tennessee,49133
Giles,Tennessee,28746
Grainger,Tennessee,22702
Greene,Tennessee,69069
Grundy,Tennessee,13498
Hamblen,Tennessee,64934
Hamilton,Tennessee,367804
Hancock,Tennessee,6679
Hardeman,Tennessee,26306
Hardin,Tennessee,26034
Hawkins,Tennessee,56786
Haywood,Tennessee,18224
Henderson,Tennessee,28048
Henry,Tennessee,32210
Hickman,Tennessee,24267
Houston,Tennessee,8292
Humphreys,Tennessee,18243
Jackson,Tennessee,11517
Jefferson,Tennessee,54495
Johnson,Tennessee,17977
Knox,Tennessee,470313
Lake,Tennessee,7731
Lauderdale,Tennessee,27795
Lawrence,Tennessee,44142
Lewis,Tennessee,11961
Lincoln,Tennessee,33633
Loudon,Tennessee,54068
McMinn,Tennessee,53794
McNairy,Tennessee,26140
Macon,Tennessee,22701
Madison,Tennessee,97984
Marion,Tennessee,28374
Marshall,Tennessee,31130
Maury,Tennessee,96387
Meigs,Tennessee,11649
Monroe,Tennessee,46545
Montgomery,Tennessee,208993
Moore,Tennessee,6301
Morgan,Tennessee,21915
Obion,Tennessee,31131
Overton,Tennessee,22075
Perry,Tennessee,7869
Pickett,Tennessee,5090
Polk,Tennessee,16690
Putnam,Tennessee,80245
Rhea,Tennessee,32513
Roane,Tennessee,53382
Robertson,Tennessee,71813
Rutherford,Tennessee,332285
Scott,Tennessee,22015
Sequatchie,Tennessee,14681
Sevier,Tennessee,98250
Shelby,Tennessee,937166
Smith,Tennessee,19074
Stewart,Tennessee,13362
Sullivan,Tennessee,158348
Sumner,Tennessee,191283
Tipton,Tennessee,61599
Trousdale,Tennessee,7828
Unicoi,Tennessee,18082
Union,Tennessee,19102
Van Buren,Tennessee,5583
Warren,Tennessee,41277
Washington,Tennessee,129375
Wayne,Tennessee,16939
Weakley,Tennessee,34450
White,Tennessee,26244
Williamson,Tennessee,238412
Wilson,Tennessee,144657
Anderson,Texas,57735
Andrews,Texas,16799
Angelina,Texas,86715
Aransas,Texas,24356
Archer,Texas,8681
Armstrong,Texas,1949
Atascosa,Texas,51153
Austin,Texas,28847
Bailey,Texas,7114
Bandera,Texas,20601
Bastrop,Texas,88723
Baylor,Texas,3614
Bee,Texas,32799
Bell,Texas,362924
Bexar,Texas,2003554
Blanco,Texas,10723
Borden,Texas,637
Bosque,Texas,17855
Bowie,Texas,93245
Brazoria,Texas,374264
Brazos,Texas,229211
Brewster,Texas,9286
Briscoe,Texas,1537
Brooks,Texas,7237
Brown,Texas,37864
Burleson,Texas,17169
Burnet,Texas,48155
Caldwell,Texas,43664
Calhoun,Texas,21806
Callahan,Texas,13525
Cameron,Texas,423163
Camp,Texas,12413
Carson,Texas,6010
Cass,Texas,30331
Castro,Texas,8030
Chambers,Texas,36812
Cherokee,Texas,52646
Childress,Texas,7095
Clay,Texas,10473
Cochran,Texas,3016
Coke,Texas,3210
Coleman,Texas,8543
Collin,Texas,1034730
Collingsworth,Texas,3099
Colorado,Texas,20752
Comal,Texas,156209
Comanche,Texas,13623
Concho,Texas,4043
Cooke,Texas,41257
Coryell,Texas,75951
Cottle,Texas,1452
Crane,Texas,4773
Crockett,Texas,3807
Crosby,Texas,5991
Culberson,Texas,2277
Dallam,Texas,7057
Dallas,Texas,2635516
Dawson,Texas,13810
Deaf Smith,Texas,19177
Delta,Texas,5238
Denton,Texas,887207
DeWitt,Texas,20503
Dickens,Texas,2291
Dimmit,Texas,10897
Donley,Texas,3522
Duval,Texas,11640
Eastland,Texas,18245
Ector,Texas,166223
Edwards,Texas,1884
Ellis,Texas,184826
El Paso,Texas,839238
Erath,Texas,42698
Falls,Texas,17493
Fannin,Texas,33659
Fayette,Texas,24821
Fisher,Texas,3856
Floyd,Texas,6230
Foard,Texas,1277
Fort Bend,Texas,811688
Franklin,Texas,10660
Freestone,Texas,19646
Frio,Texas,18065
Gaines,Texas,18921
Galveston,Texas,342139
Garza,Texas,6317
Gillespie,Texas,25357
Glasscock,Texas,1251
Goliad,Texas,7465
Gonzales,Texas,20312
Gray,Texas,23043
Grayson,Texas,136212
Gregg,Texas,123945
Grimes,Texas,26859
Guadalupe,Texas,166847
Hale,Texas,35764
Hall,Texas,3239
Hamilton,Texas,8310
Hansford,Texas,5555
Hardeman,Texas,4016
Hardin,Texas,57602
Harris,Texas,4713325
Harrison,Texas,66553
Hartley,Texas,6100
Haskell,Texas,5875
Hays,Texas,230191
Hemphill,Texas,4158
Henderson,Texas,82737
Hidalgo,Texas,868707
Hill,Texas,34823
Hockley,Texas,23530
Hood,Texas,61643
Hopkins,Texas,35565
Houston,Texas,22911
Howard,Texas,36147
Hudspeth,Texas,3318
Hunt,Texas,98594
Hutchinson,Texas,21819
Irion,Texas,1612
Jack,Texas,8957
Jackson,Texas,14591
Jasper,Texas,35649
Jeff Davis,Texas,2253
Jefferson,Texas,251565
Jim Hogg,Texas,5245
Jim Wells,Texas,40482
Johnson,Texas,175817
Jones,Texas,19859
Karnes,Texas,15081
Kaufman,Texas,136154
Kendall,Texas,47431
Kenedy,Texas,412
Kent,Texas,807
Kerr,Texas,52600
Kimble,Texas,4481
King,Texas,285
Kinney,Texas,3586
Kleberg,Texas,32101
Knox,Texas,3767
Lamar,Texas,49859
Lamb,Texas,13775
Lampasas,Texas,20222
La Salle,Texas,7369
Lavaca,Texas,19581
Lee,Texas,16628
Leon,Texas,16742
Liberty,Texas,88219
Limestone,Texas,23326
Lipscomb,Texas,3485
Live Oak,Texas,11867
Llano,Texas,19444
Loving,Texas,169
Lubbock,Texas,310569
Lynn,Texas,5723
McCulloch,Texas,8330
McLennan,Texas,256623
McMullen,Texas,764
Madison,Texas,13781
Marion,Texas,10235
Martin,Texas,5312
Mason,Texas,4128
Matagorda,Texas,36592
Maverick,Texas,58722
Medina,Texas,51584
Menard,Texas,2148
Midland,Texas,176832
Milam,Texas,24167
Mills,Texas,4907
Mitchell,Texas,9402
Montague,Texas,19503
Montgomery,Texas,607391
Moore,Texas,22141
Morris,Texas,12834
Motley,Texas,1196
Nacogdoches,Texas,65204
Navarro,Texas,50113
Newton,Texas,14140
Nolan,Texas,15037
Nueces,Texas,362294
Ochiltree,Texas,10806
Oldham,Texas,2102
Orange,Texas,83396
Palo Pinto,Texas,27889
Panola,Texas,23870
Parker,Texas,142878
Parmer,Texas,9965
Pecos,Texas,15697
Polk,Texas,51353
Potter,Texas,117415
Presidio,Texas,7201
Rains,Texas,11065
Randall,Texas,137713
Reagan,Texas,3601
Real,Texas,3350
Red River,Texas,12470
Reeves,Texas,13965
Refugio,Texas,7305
Roberts,Texas,831
Robertson,Texas,16486
Rockwall,Texas,104915
Runnels,Texas,10309
Rusk,Texas,54406
Sabine,Texas,10361
San Augustine,Texas,8769
San Jacinto,Texas,26856
San Patricio,Texas,66730
San Saba,Texas,6012
Schleicher,Texas,3206
Scurry,Texas,17302
Shackelford,Texas,3375
Shelby,Texas,25792
Sherman,Texas,3093
Smith,Texas,232751
Somervell,Texas,8658
Starr,Texas,64633
Stephens,Texas,9247
Sterling,Texas,1219
Stonewall,Texas,1432
Sutton,Texas,4006
Swisher,Texas,7763
Tarrant,Texas,2102515
Taylor,Texas,138034
Terrell,Texas,903
Terry,Texas,12743
Throckmorton,Texas,1600
Titus,Texas,32581
Tom Green,Texas,119200
Travis,Texas,1273954
Trinity,Texas,14393
Tyler,Texas,21464
Upshur,Texas,41753
Upton,Texas,3372
Uvalde,Texas,26926
Val Verde,Texas,49025
Van Zandt,Texas,56590
Victoria,Texas,92084
Walker,Texas,72971
Waller,Texas,55246
Ward,Texas,11244
Washington,Texas,34147
Webb,Texas,276652
Wharton,Texas,41556
Wheeler,Texas,5751
Wichita,Texas,132230
Wilbarger,Texas,13131
Willacy,Texas,21921
Williamson,Texas,590551
Wilson,Texas,51070
Winkler,Texas,7606
Wise,Texas,69984
Wood,Texas,45539
Yoakum,Texas,8184
Young,Texas,18341
Zapata,Texas,14390
Zavala,Texas,12156
Bajo Nuevo Bank[x][y],U.S. Minor Outlying Islands,0
Baker Island[8][x],U.S. Minor Outlying Islands,0
Howland Island[x],U.S. Minor Outlying Islands,0
Jarvis Island[x],U.S. Minor Outlying Islands,0
Johnston Atoll[x],U.S. Minor Outlying Islands,0
Kingman Reef[x],U.S. Minor Outlying Islands,0
Midway Islands[x],U.S. Minor Outlying Islands,40
Navassa Island[x],U.S. Minor Outlying Islands,0
Palmyra Atoll[x],U.S. Minor Outlying Islands,20
Serranilla Bank[x][y],U.S. Minor Outlying Islands,0
Wake Island[x],U.S. Minor Outlying Islands,100
Beaver,Utah,6459
Box Elder,Utah,56046
Cache,Utah,128289
Carbon,Utah,20988
Daggett,Utah,1127
Davis,Utah,355481
Duchesne,Utah,20308
Emery,Utah,10749
Garfield,Utah,5083
Grand,Utah,9360
Iron,Utah,54839
Juab,Utah,10348
Kane,Utah,7260
Millard,Utah,12662
Morgan,Utah,10173
Piute,Utah,1510
Rich,Utah,2288
Salt Lake,Utah,1160437
San Juan,Utah,14973
Sanpete,Utah,28237
Sevier,Utah,20852
Summit,Utah,42145
Tooele,Utah,72259
Uintah,Utah,35555
Utah,Utah,636235
Wasatch,Utah,26437
Washington,Utah,177556
Wayne,Utah,2747
Weber,Utah,260213
Addison,Vermont,36791
Bennington,Vermont,36659
Caledonia,Vermont,31157
Chittenden,Vermont,163774
Essex,Vermont,6211
Franklin,Vermont,49402
Grand Isle,Vermont,6987
Lamoille,Vermont,25067
Orange,Vermont,28915
Orleans,Vermont,27169
Rutland,Vermont,58191
Washington,Vermont,58409
Windham,Vermont,42222
Windsor,Vermont,55062
Saint Croix Island[9],Virgin Islands (U.S.),50601
Saint John Island,Virgin Islands (U.S.),4170
Saint Thomas Island,Virgin Islands (U.S.),51634
Accomack,Virginia,33148
Albemarle,Virginia,109330
Alleghany,Virginia,16161
Amelia,Virginia,12745
Amherst,Virginia,32178
Appomattox,Virginia,15255
Arlington,Virginia,236842
Augusta,Virginia,75558
Bath,Virginia,4616
Bedford[z],Virginia,78997
Bland,Virginia,6735
Botetourt,Virginia,33002
Brunswick,Virginia,16973
Buchanan,Virginia,23597
Buckingham,Virginia,17136
Campbell,Virginia,54885
Caroline,Virginia,29298
Carroll,Virginia,29883
Charles City,Virginia,7130
Charlotte,Virginia,12305
Chesterfield,Virginia,352802
Clarke,Virginia,14348
Craig,Virginia,5210
Culpeper,Virginia,52605
Cumberland,Virginia,9841
Dickenson,Virginia,15486
Dinwiddie,Virginia,27904
Essex,Virginia,11229
Fairfax,Virginia,1147532
Fauquier,Virginia,71222
Floyd,Virginia,15528
Fluvanna,Virginia,25977
Franklin,Virginia,56042
Frederick,Virginia,89313
Giles,Virginia,16925
Gloucester,Virginia,36834
Goochland,Virginia,21626
Grayson,Virginia,15161
Greene,Virginia,18804
Greensville,Virginia,11886
Halifax,Virginia,35401
Hanover,Virginia,107766
Henrico,Virginia,330818
Henry,Virginia,50557
Highland,Virginia,2215
Isle of Wight,Virginia,35656
James City,Virginia,76523
King and Queen,Virginia,7130
King George,Virginia,24926
King William,Virginia,16097
Lancaster,Virginia,11148
Lee,Virginia,25185
Loudoun,Virginia,413538
Louisa,Virginia,33945
Lunenburg,Virginia,12527
Madison,Virginia,13200
Mathews,Virginia,8897
Mecklenburg,Virginia,31426
Middlesex,Virginia,10762
Montgomery,Virginia,98535
Nelson,Virginia,14789
New Kent,Virginia,19507
Northampton,Virginia,12125
Northumberland,Virginia,12200
Nottoway,Virginia,15773
Orange,Virginia,34689
Page,Virginia,23821
Patrick,Virginia,18368
Pittsylvania,Virginia,60354
Powhatan,Virginia,28259
Prince Edward,Virginia,22802
Prince George,Virginia,37253
Prince William,Virginia,470335
Pulaski,Virginia,34507
Rappahannock,Virginia,7478
Richmond,Virginia,8953
Roanoke,Virginia,94186
Rockbridge,Virginia,22307
Rockingham,Virginia,81948
Russell,Virginia,28264
Scott,Virginia,22640
Shenandoah,Virginia,43616
Smyth,Virginia,31652
Southampton,Virginia,18128
Spotsylvania,Virginia,136215
Stafford,Virginia,152882
Surry,Virginia,6765
Sussex,Virginia,11810
Tazewell,Virginia,40595
Warren,Virginia,40164
Washington,Virginia,53740
Westmoreland,Virginia,17612
Wise,Virginia,37383
Wythe,Virginia,29344
York,Virginia,68280
"Alexandria, City of[aa]",Virginia,159428
"Bristol, City of[aa]",Virginia,17341
"Buena Vista, City of[aa]",Virginia,6680
"Charlottesville, City of[aa]",Virginia,47266
"Chesapeake, City of[aa]",Virginia,244835
"Colonial Heights, City of[aa]",Virginia,17634
"Covington, City of[aa]",Virginia,5818
"Danville, City of[aa]",Virginia,40044
"Emporia, City of[aa]",Virginia,5588
"Fairfax, City of[aa]",Virginia,23973
"Falls Church, City of[aa]",Virginia,13508
"Franklin, City of[aa]",Virginia,8638
"Fredericksburg, City of[aa]",Virginia,28132
"Galax, City of[aa]",Virginia,7035
"Hampton, City of[aa]",Virginia,134510
"Harrisonburg, City of[aa]",Virginia,53016
"Hopewell, City of[aa]",Virginia,22163
"Lexington, City of[aa]",Virginia,7170
"Lynchburg, City of[aa]",Virginia,82168
"Manassas, City of[aa]",Virginia,41085
"Manassas Park, City of[aa]",Virginia,16149
"Martinsville, City of[aa]",Virginia,13755
"Newport News, City of[aa]",Virginia,179225
"Norfolk, City of[aa]",Virginia,242742
"Norton, City of[aa]",Virginia,4017
"Petersburg, City of[aa]",Virginia,32538
"Poquoson, City of[aa]",Virginia,12104
"Portsmouth, City of[aa]",Virginia,94398
"Radford, City of[aa]",Virginia,17184
"Richmond, City of[aa]",Virginia,230436
"Roanoke, City of[aa]",Virginia,99143
"Salem, City of[aa]",Virginia,25299
"Staunton, City of[aa]",Virginia,24350
"Suffolk, City of[aa]",Virginia,92108
"Virginia Beach, City of[aa]",Virginia,449974
"Waynesboro, City of[aa]",Virginia,21263
"Williamsburg, City of[aa]",Virginia,15206
"Winchester, City of[aa]",Virginia,27216
Adams,Washington,19067
Asotin,Washington,22110
Benton,Washington,204390
Chelan,Washington,77200
Clallam,Washington,77331
Clark,Washington,488241
Columbia,Washington,4032
Cowlitz,Washington,110593
Douglas,Washington,43429
Ferry,Washington,7646
Franklin,Washington,95222
Garfield,Washington,2256
Grant,Washington,97733
Grays Harbor,Washington,75061
Island,Washington,85141
Jefferson,Washington,30076
King,Washington,2252782
Kitsap,Washington,271473
Kittitas,Washington,47935
Klickitat,Washington,20866
Lewis,Washington,80707
Lincoln,Washington,10301
Mason,Washington,66768
Okanogan,Washington,42243
Pacific,Washington,20498
Pend Oreille,Washington,12896
Pierce,Washington,904980
San Juan,Washington,15875
Skagit,Washington,129205
Skamania,Washington,11274
Snohomish,Washington,822083
Spokane,Washington,522798
Stevens,Washington,45723
Thurston,Washington,290536
Wahkiakum,Washington,4042
Walla Walla,Washington,60760
Whatcom,Washington,229247
Whitman,Washington,50104
Yakima,Washington,250873
Barbour,West Virginia,16770
Berkeley,West Virginia,119171
Boone,West Virginia,24224
Braxton,West Virginia,14502
Brooke,West Virginia,23737
Cabell,West Virginia,91945
Calhoun,West Virginia,7564
Clay,West Virginia,9244
Doddridge,West Virginia,8344
Fayette,West Virginia,42406
Gilmer,West Virginia,8672
Grant,West Virginia,11759
Greenbrier,West Virginia,35644
Hampshire,West Virginia,23445
Hancock,West Virginia,30291
Hardy,West Virginia,13920
Harrison,West Virginia,67256
Jackson,West Virginia,29178
Jefferson,West Virginia,57146
Kanawha,West Virginia,178124
Lewis,West Virginia,16452
Lincoln,West Virginia,21559
Logan,West Virginia,35987
McDowell,West Virginia,20876
Marion,West Virginia,56072
Marshall,West Virginia,32459
Mason,West Virginia,27126
Mercer,West Virginia,58758
Mineral,West Virginia,27704
Mingo,West Virginia,25900
Monongalia,West Virginia,105612
Monroe,West Virginia,13483
Morgan,West Virginia,17498
Nicholas,West Virginia,25965
Ohio,West Virginia,41411
Pendleton,West Virginia,7471
Pleasants,West Virginia,7577
Pocahontas,West Virginia,8669
Preston,West Virginia,33859
Putnam,West Virginia,56450
Raleigh,West Virginia,73361
Randolph,West Virginia,29415
Ritchie,West Virginia,10073
Roane,West Virginia,14656
Summers,West Virginia,13563
Taylor,West Virginia,16973
Tucker,West Virginia,6968
Tyler,West Virginia,8995
Upshur,West Virginia,24665
Wayne,West Virginia,39402
Webster,West Virginia,8893
Wetzel,West Virginia,16204
Wirt,West Virginia,5901
Wood,West Virginia,83518
Wyoming,West Virginia,23019
Adams,Wisconsin,20480
Ashland,Wisconsin,16016
Barron,Wisconsin,45244
Bayfield,Wisconsin,15156
Brown,Wisconsin,264542
Buffalo,Wisconsin,13357
Burnett,Wisconsin,15333
Calumet,Wisconsin,50089
Chippewa,Wisconsin,64658
Clark,Wisconsin,34615
Columbia,Wisconsin,57532
Crawford,Wisconsin,16397
Dane,Wisconsin,546695
Dodge,Wisconsin,87839
Door,Wisconsin,27896
Douglas,Wisconsin,43150
Dunn,Wisconsin,45368
Eau Claire,Wisconsin,104646
Florence,Wisconsin,4520
Fond du Lac,Wisconsin,103403
Forest,Wisconsin,9126
Grant,Wisconsin,51439
Green,Wisconsin,37090
Green Lake,Wisconsin,18959
Iowa,Wisconsin,23749
Iron,Wisconsin,5886
Jackson,Wisconsin,20644
Jefferson,Wisconsin,84769
Juneau,Wisconsin,26547
Kenosha,Wisconsin,169561
Kewaunee,Wisconsin,20505
La Crosse,Wisconsin,118016
Lafayette,Wisconsin,16766
Langlade,Wisconsin,19575
Lincoln,Wisconsin,28684
Manitowoc,Wisconsin,78981
Marathon,Wisconsin,135692
Marinette,Wisconsin,40350
Marquette,Wisconsin,15176
Menominee,Wisconsin,4317
Milwaukee,Wisconsin,945726
Monroe,Wisconsin,46253
Oconto,Wisconsin,37930
Oneida,Wisconsin,35689
Outagamie,Wisconsin,187885
Ozaukee,Wisconsin,89221
Pepin,Wisconsin,7360
Pierce,Wisconsin,42754
Polk,Wisconsin,43783
Portage,Wisconsin,70772
Price,Wisconsin,13802
Racine,Wisconsin,196311
Richland,Wisconsin,17717
Rock,Wisconsin,163354
Rusk,Wisconsin,14395
St. Croix,Wisconsin,90687
Sauk,Wisconsin,64442
Sawyer,Wisconsin,16513
Shawano,Wisconsin,40899
Sheboygan,Wisconsin,115340
Taylor,Wisconsin,20610
Trempealeau,Wisconsin,29582
Vernon,Wisconsin,30329
Vilas,Wisconsin,21368
Walworth,Wisconsin,103868
Washburn,Wisconsin,15686
Washington,Wisconsin,136034
Waukesha,Wisconsin,404198
Waupaca,Wisconsin,50990
Waushara,Wisconsin,24329
Winnebago,Wisconsin,171907
Wood,Wisconsin,72999
Albany,Wyoming,38880
Big Horn,Wyoming,11790
Campbell,Wyoming,46341
Carbon,Wyoming,14800
Converse,Wyoming,13822
Crook,Wyoming,7584
Fremont,Wyoming,39261
Goshen,Wyoming,13211
Hot Springs,Wyoming,4413
Johnson,Wyoming,8445
Laramie,Wyoming,99500
Lincoln,Wyoming,19830
Natrona,Wyoming,79858
Niobrara,Wyoming,2356
Park,Wyoming,29194
Platte,Wyoming,8393
Sheridan,Wyoming,30485
Sublette,Wyoming,9831
Sweetwater,Wyoming,42343
Teton,Wyoming,23464
Uinta,Wyoming,20226
Washakie,Wyoming,7805
Weston,Wyoming,6927
